id	title	context	triplets
103		Introwise, a new platform for coaches and consultants to take their business online, has raised €275K in pre-seed funding, with Wise, Pipedrive, and Bolt founders and alumni among the participating angel investors. Originally from Estonia, and currently the only European company in the Techstars Seattle 2020 cohort, Introwise’s mission is to enable every person to easily operate and earn money online. Its software reduces the required admin to the minimum and allows even non-technical people to take advantage of a global audience. The list of participating angel investors includes Martin Villig (Bolt), Ragnar Sass (Pipedrive), Taavi Tamkivi (Wise, Salv), James Berdigans (Printify), Taavi Kotka (Nortal, former CIO for Estonia), Ivo Mägi (Nortal, Plumbr) and others. The round brings the total funding in the company to €380K, and will go towards expanding the team, as well as building premium features that allow customers to increase their earnings.	<triplet> and others <sub> €275K <obj> INVESTS <triplet> Ivo Mägi <sub> €275K <obj> INVESTS <triplet> Taavi Kotka <sub> €275K <obj> INVESTS <triplet> James Berdigans <sub> €275K <obj> INVESTS <triplet> Martin Villig <sub> €275K <obj> INVESTS <triplet> Pipedrive <sub> €275K <obj> INVESTS <triplet> Ragnar Sass <sub> €275K <obj> INVESTS <triplet> Taavi Tamkivi <sub> €275K <obj> INVESTS <triplet> Wise <sub> €275K <obj> INVESTS <triplet> Introwise <sub> €275K <obj> RECEIVES
1030		Copenhagen-based Trustpilot, the customer review platform that let us people share their experiences to help others make better choices, and provides feedback to companies to help them improve their services, has raised €48.5 million in Series E funding. Founded in 2007, Trustpilot has grown rapidly since, and now has more than 58 million reviews of over 265,000 companies in more than 150 countries. Trustpilot is now among the top 1% most visited websites worldwide and a leader in the UK, as well as other European markets and North America. Its brand is seen more than 3.5 billion times online each month. Feedback shared through the Trustpilot platform empowers consumers to get closer to the companies they buy from, make better buying decisions and influence others. For companies, openly collecting consumer reviews on Trustpilot not only helps them grow and show brand trust but also delivers tangible, measurable business results such as actionable customer insights, helping more consumers discover their brand online (including through the strongest SEO power of any comparable platform) and turning significantly more browsers into buyers.	<triplet> Trustpilot <sub> €48.5 million <obj> RECEIVES <triplet> €48.5 million <sub> Series E <obj> IN ROUND
1038		Düsseldorf-based legal tech company Helpcheck defends consumers against big corporations and insurance companies, for those who might otherwise be deterred from pursuing their rights due to high legal fees. The startup has just raised €11 million from a German family office. Helpcheck was founded in 2016 by Peer Schulz and Phil Sokowicz as a “justice-as-a-service” platform for consumer rights, providing people with easy access to justice, especially in the life insurance sector. Following a free calculation of each claim based on an extensive algorithm, consumers’ claims are brought to court. Right now, Helpcheck’s team consists of 15 employees, and the platform currently only operates in Germany. The additional funding will allow the startup to expand into new areas of law. Co-founder Peer Schulz said: “Our mission is to provide consumers with an easy access to justice using our digital know-how, hence giving them a powerful voice against large corporations. The latest round of financing will help us grow further and expand into new markets and areas of law.”	<triplet> Helpcheck <sub> €11 million <obj> RECEIVES
104		Barely 8 months after its launch, Barcelona-based startup Payflow has extended its seed round funding to €2 million, with strategic investors leading the way. This Spanish financial wellness startup which allows employees to get paid on demand, has now joined the portfolios of Wayra (Telefonica’s innovation hub), Zone2boost (the International Innovation Programme of CaixaBank, Global Payment and Worldline) and Plug & Play (the famous Silicon Valley investment fund, that invested early into Google, PayPal, Dropbox, N26 and Rappi). For Payflow, these alliances and the fresh funds will be used to consolidate their growth and positioning as one of the pillars of the Spanish fintech field. It also effectively highlights the relevance and utility of its model given the times of crisis we are all living through, in the wake of the COVID-19 pandemic. Founded in the early days of 2020, this Spanish fintech already has more than 100 companies using its service, including Scalpers, Natura and Aravinc. These are just a few of the names that can attest to the service and financial freedom that Payflow has granted the tens of thousands of employees using its application.	<triplet> Plug & Play <sub> €2 million <obj> INVESTS <triplet> Zone2boost <sub> €2 million <obj> INVESTS <triplet> Wayra <sub> €2 million <obj> INVESTS <triplet> Payflow <sub> €2 million <obj> RECEIVES
105		With the aim to help mobile apps boost customer retention,Cooee has just received €356k in pre-seed funding. The funding was led by Jenson Funding Partners with participation from several angel investors from the United States, India and UK. The deeptech startup, founded in 2020, delivers one-to-one personalised in-app and push notifications that help businesses increase revenue and reduce churn. Cooee uses AR, computer vision and machine learning to create unique engagements for every customer in real-time rather than the traditional approach of bucketing different users in finite segments and delivering campaigns on a fixed schedule. It is thought that a record 3.8 trillion hours were spent on apps last year, and, there are now over 5 million apps available on app stores. This is a massive market area. The problem, though, is that many apps are financially unviable because of the high cost of customer acquisition and consequent lack of revenue – this is what Cooee aim to solve.	<triplet> Cooee <sub> €356k <obj> RECEIVES <triplet> Jenson Funding Partners <sub> €356k <obj> INVESTS <triplet> several angel investors <sub> €356k <obj> INVESTS <triplet> Cooee <sub> €356k <obj> RECEIVES <triplet> €356k <sub> pre-seed funding <obj> IN ROUND
1052		Amsterdam-based travel startup Polarsteps allows travelers to share their trips in real time with their closest friends and family. The startup just announced that it has hit the one million user mark, and raised €3 million in a Series A round. The round was led by INKEF Capital, brings Polarsteps’ total funding to date to €4.6 million, after previously raising a€900k seed round in 2017. Founded in 2015, Polarstep’s platform allows travelers to create their own personal photo albums, and to explore inspiring trips of others, with titles such as, “Around the world in an ambulance“, “Nepal on a Royal Enfield“, and “Exploring Iceland by bicycle“. Polarsteps makes money by letting users buy their special “Travel Books”, which are instant photo albums of trips that can be ordered at the push of a button. Polarsteps’ one million registered users have collectively traveled over 52 million days on the app – shown on a heat map that the company published today. The map exposes the most popular travel routes across the globe.	<triplet> INKEF Capital <sub> €3 million <obj> INVESTS <triplet> Polarsteps <sub> €3 million <obj> RECEIVES <triplet> Polarsteps <sub> a€900k <obj> RECEIVES <triplet> a€900k <sub> in 2017 <obj> PLACEHOLDER_DATE <triplet> seed round <sub> in 2017 <obj> IN ROUND
1064		Qvalia, a Stockholm, Sweden-based financial technology company, has received an investment of €1.2 million from Investment AB Spiltan. The fresh capital will be used to accelerate the development and simplify the onboarding of new customers. Qvalia offers a software platform for finance process automation. “Our software increases the efficiency radically in daily finance operations within our customers’ existing IT infrastructure. There has been a strong interest since our roll-out in 2018, and we need to increase our development capacity. Spiltan has been a valuable partner since 2011, and we are grateful for their continued support”, says Henri Taipale, founder and CEO of Qvalia. Qvalia was initially founded in 2007 as an expert in transaction analysis, a data-driven service to identify accounting deviations and recover lost capital. The company grew rapidly and is now the Nordic leader. Based on the company’s insights into financial data management, in 2015 Qvalia started developing a platform for complete and flawless automation in finance processes for the enterprise, such as invoice management and transactional accounting. In 2018, Qvalia generated sales of €6.9 million. Spiltan already invested in Qvalia 2011 and 2016.	<triplet> Qvalia <sub> €1.2 million <obj> RECEIVES <triplet> Investment AB Spiltan <sub> €1.2 million <obj> INVESTS
107		Pitch, a technology startup from Berlin, today announced a $19 million Series A funding round led by Index Ventures and its existing investor BlueYard. Further new investors include Slack Fund, Zoom CEO Eric Yuan, Framer CEO Koen Bok, Elastic Co-Founder Simon Willnauer, Datadog CEO Olivier Pomel, Wunderlist-backer Frank Thelen, and Metalab Founder Andrew Wilkinson. Presentations have defined entire industries, architected how organisations function, how work itself is shaped and how information and knowledge is conveyed throughout markets and societies. They impact the lives and businesses of hundreds of millions of users every day, with billions of hours spent on crafting and delivering presentations. Yet the tools widely used today have remained more-or-less within the same paradigm since many years. The existing tools are sometimes a bit complex, sometimes do not integrate with external data sources and have limited collaboration features. Pitch is here to change that. Started in January 2018 by the founding team behind Wunderlist, the leading to-do app which was acquired by Microsoft in 2015, Pitch is using modern web technologies, data integrations and team-oriented features to empower true collaboration. Pitch aims to make it significantly faster and easier for impactful presentations to be created and shared – both by individuals and teams.	<triplet> Frank Thelen <sub> $19 million <obj> INVESTS <triplet> Olivier Pomel <sub> $19 million <obj> INVESTS <triplet> Andrew Wilkinson <sub> $19 million <obj> INVESTS <triplet> Simon Willnauer <sub> $19 million <obj> INVESTS <triplet> Koen Bok <sub> $19 million <obj> INVESTS <triplet> Pitch <sub> $19 million <obj> RECEIVES <triplet> Index Ventures <sub> $19 million <obj> INVESTS <triplet> Slack Fund <sub> $19 million <obj> INVESTS <triplet> Eric Yuan <sub> $19 million <obj> INVESTS <triplet> BlueYard <sub> $19 million <obj> INVESTS <triplet> $19 million <sub> Series A <obj> IN ROUND
1074		French fintech Pennylane, which offers an online full-stack accounting service, has already completed a new round of financing with its historical investors, Global Founders Capital and Partech. In light of the success of its online bookkeeping solution, Pennylane has expanded its offer with a SaaS to enable all company managers to regain full control of their finances. Launched last year by the founders of PriceMatch (acquired by Booking.com in 2015), Pennylane uses accounting data to help entrepreneurs manage their day-to-day business. Pennylane raised a €4 million seed round with Global Founders Capital, Partech, and Kima Ventures in May 2020, and has been experiencing quick growth since. In less than a year, the startup has generated a revenue of more than €2 million, hired about 30 accountants and 15 developers, and now supports 500+ customers on a daily basis (mostly startups, SMEs, e-commerces, and restaurant owners). Pennylane enables business leaders to access their complete, reliable, and up-to-date financial data at any time in order to make the right decisions.	<triplet> Kima Ventures <sub> €4 million <obj> INVESTS <triplet> Partech <sub> €4 million <obj> INVESTS <triplet> Global Founders Capital <sub> €4 million <obj> INVESTS <triplet> Pennylane <sub> €4 million <obj> RECEIVES <triplet> €4 million <sub> seed round <obj> IN ROUND
1075		Amsterdam-based Office App is an office management platform that allows tentants and employees to book events and desks, view and book available parking spaces, personal messaging, manage energy usage, and more. Office App is currently used in 10 countries throughout Europe with customers including LaSalle, UBS, BNP Paribas, Nuveen, HPE and Dell. Founded in 2015, Office App has just announced a €4.3 million Series A funding round. The round was led by German VC Join Capital and Austria-based SIGNA Innovations, the Venture Capital Unit, along with UK-based specialist Proptech VC Pi Labs. The startup plans to use the funding to expand its data and analytics offering, cement its position in Europe as well as expanding its teams in Amsterdam, London, and North America. Office App offers a large suite of functionalities and services available, ranging from room booking, intra-organisation community, access control, maintenance requests, on-demand catering, to local amenities. By combining all tenant focused services under one roof, Office App is aiming to improve and provide the best employee experience, whilst allowing landlords and office managers to access end-user data and insights to constantly improve the office environment.	<triplet> Venture Capital Unit <sub> €4.3 million <obj> INVESTS <triplet> Pi Labs <sub> €4.3 million <obj> INVESTS <triplet> SIGNA Innovations <sub> €4.3 million <obj> INVESTS <triplet> Join Capital <sub> €4.3 million <obj> INVESTS <triplet> Office App <sub> €4.3 million <obj> RECEIVES <triplet> €4.3 million <sub> Series A <obj> IN ROUND
1084		Today Finnish startup Logmore, a pioneer in QR code data logging, has closed a €4.5 million Series A equity investment round. The round was led by NordicNinja VC, in partnership with Icebreaker VC, Trind Ventures, Tekton Ventures, and Jaakkoo-Taara, to fund Logmore’s global expansion. Logmore, founded in 2017, has designed and produced an innovative QR logger. Shipment condition monitoring (such as temperature monitoring of food and pharmaceuticals) is crucial for global logistics. To make sure things run smoothly, Logmore measures the quality of goods with its seamless cloud service and QR code tags, keeping an eye on temperature, humidity, light, shocks, and tilt. Data on goods is retrieved by reading the QR code with any smart device camera or standard barcode reader, and is then automatically uploaded to the Logmore cloud platform, which allows managing and monitoring quality of fleets of all sizes. Unlike the competing Bluetooth/USB solutions, Logmore requires no specific technology from recipients and can be used also in airborne supply chains, making it truly an end-to-end solution.	<triplet> Jaakkoo-Taara <sub> €4.5 million <obj> INVESTS <triplet> Tekton Ventures <sub> €4.5 million <obj> INVESTS <triplet> Logmore <sub> €4.5 million <obj> RECEIVES <triplet> NordicNinja VC <sub> €4.5 million <obj> INVESTS <triplet> Icebreaker VC <sub> €4.5 million <obj> INVESTS <triplet> Trind Ventures <sub> €4.5 million <obj> INVESTS <triplet> €4.5 million <sub> Series A <obj> IN ROUND
11		Rouen-based medtech startup Robocath designs, develops, and commercializes cardiovascular robotic systems for the treatment of vascular diseases such as heart attack and stroke. The startup has raised €5 million to support the rollout of its robotic platform in strategic European target markets. The company has also hired Lucien Goffart as CEO. With twenty years of experience in cardiology, Lucien Goffart has held a number of key positions in leading companies in the sector. He also has a strong track record of supporting international marketing of new products. His background notably includes a position as a business manager for France at Boston Scientific, and his recent appointment as an executive board member at Electroducer, a French manufacturer of vascular devices. “I am delighted to welcome Lucien Goffart to the company at such a key moment for us with the commercial launch of our first robotic platform,” said Philippe Bencteux, founder & president of Robocath. “His experience in the industry is undeniable. This appointment has been made at a particularly auspicious time, with our only direct competitor, Corindus Vascular Robotics, having been bought out by Siemens for €1 billion.”	<triplet> Robocath <sub> €5 million <obj> RECEIVES <triplet> Robocath <sub> €5 million <obj> RECEIVES <triplet> Corindus Vascular Robotics <sub> €1 billion <obj> RECEIVES <triplet> Siemens <sub> €1 billion <obj> ACQUIRES
1102		Glue, the Swedish smart home startup, enabling home access via mobile phones, today announces that it has raised $3 million in seed funding. The fresh capital will be used to support the continued development of an ecosystem around in-home delivery of products and services. Two of Glue’s new backers, former Tesla CPO Peter Carlsson and Rovio (Angry Birds) owner and Chairman Kaj He Would, join the board of directors and advisory board, respectively.	<triplet> Peter Carlsson <sub> $3 million <obj> INVESTS <triplet> Rovio (Angry Birds) owner and Chairman <sub> $3 million <obj> INVESTS <triplet> Glue <sub> $3 million <obj> RECEIVES <triplet> $3 million <sub> seed funding <obj> IN ROUND
1103		Marvel Fusion, a Munich-based fusion energy startup, has just got a €35 million funding boost to accelerate the commercialization of fusion tech, overcoming some of the hurdles of producing clean energy at scale. The Series A funding round was led by Earlybird. Founded in 2019, Marvel Fusion is developing a novel energy source that is based on laser-driven fusion. The fusion process releases large amounts of zero-carbon emission energy that can be converted into electricity – a timely innovation in the age of energy crises and climate change. Fusion technology combines the advantages of clean energy sources with the possibility to produce baseload energy at a large scale – without having the disadvantages of traditional power generation in terms of carbon emissions or long-lived problematic waste. Marvel FUsion are completely changing the game with their solution, offering a promising approach for a truly clean and safe fusion tech that can be a global game-changer for energy production.	<triplet> Marvel Fusion <sub> €35 million <obj> RECEIVES <triplet> Earlybird <sub> €35 million <obj> INVESTS <triplet> €35 million <sub> Series A <obj> IN ROUND
1116		Ubimax, a leading provider of Wearable Computing solutions for desk-less workers, today announced a $6 million investment from Atlantic Bridge and Westcott LLC. The fresh capital will mainly be used to further grow the company’s existing YOU.S. business and to extend its market leading position from Europe to the American market. Ubimax was founded in 2014 and is headquartered in Bremen (Germany). The startup creates Industrial Wearable Computing solutions to improve the business processes. Its Enterprise Wearable Computing Suite includes xPick for order picking, xMake for manufacturing and quality assurance processes, xInspect to support service and maintenance technicians and xAssist for remote assistance functionality. Hendrik Witt, CEO of Ubimax, stated: “This investment from two of the leading investors in Augmented Reality and Wearable Computing is a strong endorsement of the solution oriented technology platform we are providing to our customers. We have been growing profitably without any kind of funding until today. However, with the market picking up at a rapid speed, the additional money and support from our new investors will help us to keep up the high quality levels which our customers are used to and expect from us. We specifically selected Atlantic Bridge and Westcott LLC due to their extensive experience and strong track record in our market and with scaling companies from Europe to the YOU.S. This will help us to keep our clear market leading position in Europe and to reach the same market position in the YOU.S.”	<triplet> Atlantic Bridge <sub> $6 million <obj> INVESTS <triplet> Westcott LLC <sub> $6 million <obj> INVESTS <triplet> Ubimax <sub> $6 million <obj> RECEIVES
112		OGOship, founded in 2017, has just announced a €4 million pre-series A funding boost led by Flashpoint Venture Capital and Innovestor Ventures. The tech-orientated logistics company helps e-commerce businesses streamline their supply chain with their innovative platform that offers a fast-to-market solution. A 3PL partner makes it simple for companies to outsource some or all of their logistics and warehousing. Specialising in e-commerce, OGOship offers a sustainable opportunity to access and scale to new international markets without companies having to invest in their own warehouse space, prepare for an unexpected need for workforce, or negotiate transportation deals. Sustainability is the way forward for all businesses today, and OGOship offers a multi-network of logistic hubs across Europe, accessible via their digital platform that is easy to integrate with the most common e-commerce platforms on the market.	<triplet> OGOship <sub> €4 million <obj> RECEIVES <triplet> Flashpoint Venture Capital <sub> €4 million <obj> INVESTS <triplet> Innovestor Ventures <sub> €4 million <obj> INVESTS <triplet> OGOship <sub> €4 million <obj> RECEIVES <triplet> OGOship <sub> €4 million <obj> RECEIVES <triplet> €4 million <sub> pre-series A <obj> IN ROUND
1124		After the rumours of last week it is now official: Takeaway.com acquires the Berlin-based food ordering startup Lieferando. But that is. Takeaway also announced today that it raised € 73 million in additional funding from Prime Ventures, Macquarie Capital and the founders of Lieferando. Takeaway.com is one of the world’s largest food delivery websites active in Germany with Lieferservice.de. The company will merge the two brands in Germany to create a leading food delivery portal in Germany. Takeaway.com acquires Lieferando in one of the largest deals ever in the history of food delivery websites globally. The combination of Lieferando.de and Lieferservice.de offers access to the largest restaurant network in Germany with over 10,000 delivery restaurants. With about 600,000 orders per month the combined entity is one of the leading food delivery portals in Germany. It will be the second largest operation run by Takeaway.com, after its highly successful Dutch business Thuisbezorgd.nl. The combination will process around 1.7 million orders on a monthly basis for approximately 27,000 delivery restaurants. With the acquisition Takeaway.com might become the largest food delivery website in continental Europe. Over 95% of its orders are processed in four markets: Holland, Belgium, Germany and Austria. The acquisition of Lieferando also includes Lieferando’s Polish subsidiary, Pyszne.pl, bringing the total number of markets Takeaway.com is active in to ten. Both Takeaway.com and Lieferando are profitable.	<triplet> Takeaway.com <sub> Lieferando <obj> ACQUIRES <triplet> Prime Ventures <sub> € 73 million <obj> INVESTS <triplet> founders of Lieferando <sub> € 73 million <obj> INVESTS <triplet> Takeaway <sub> € 73 million <obj> RECEIVES <triplet> Macquarie Capital <sub> € 73 million <obj> INVESTS
1126		The London-based fintech startup Plum is today announcing the first close of €12 million, which is part of an anticipated €20.7 million Series A funding round. The new funding will be used to supercharge the company’s expansion, and cement Plum as Europe’s ultimate money management app. The round is led by new investors like dmg ventures and Ventura Capital, and has been joined by previous Plum backers like Global Brain, VentureFriends, 500 Startups, and several angel investors. Plum was founded in 2016 with a mission to banish financial instability and make everyone better off over their lifetime. The Plum app acts like a brain by automating the parts of personal finance that people find difficult or do not have time for.	<triplet> 500 Startups <sub> €12 million <obj> INVESTS <triplet> VentureFriends <sub> €12 million <obj> INVESTS <triplet> angel investors <sub> €12 million <obj> INVESTS <triplet> Plum <sub> €12 million <obj> RECEIVES <triplet> dmg ventures <sub> €12 million <obj> INVESTS <triplet> Global Brain <sub> €12 million <obj> INVESTS <triplet> Ventura Capital <sub> €12 million <obj> INVESTS <triplet> €12 million <sub> Series A <obj> IN ROUND
113		Riding on the success of a $1.3M investment deal backed by InReach and Lifeline Ventures, the team at Shapr3D is taking things to the next level by creating the world’s first CAD system to run Parasolid software, the world’s leading 3D geometric modeling component and HOOPS Exchange, the leading CAD translation software development kit (SDK) natively on the iOS platform, and specifically the iPad Pro. “The barrier to entry with CAD software is still very high because many traditional CAD tools are complicated and expensive. We want to make 3D CAD modeling available for all creative professionals, and now, all you need is an iPad Pro, an Apple Pencil and some inspiration,” said István Csanady, Founder and CEO of Shapr3D. “We are creating 3D modeling for the 21st century, enabling 3D modeling anytime, anywhere in a new way that is much easier and much more affordable.” First launched in March 2016, Shapr3D is a direct modeling tool with an intuitive 3D modeling user interface on a tablet device. It is easy to learn and easy to use, but built with professionals in mind.	<triplet> Lifeline Ventures <sub> $1.3M <obj> INVESTS <triplet> Shapr3D <sub> $1.3M <obj> RECEIVES <triplet> InReach <sub> $1.3M <obj> INVESTS
